title,review,category,rating,tag1,tag2,tag3,tag4,tag5,publisher,price,description
Destiny 2,Very positive,Action,T,PvP,PvE,Looter Shooter,Competitive,FPS,Bungie,Free,Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime anywhere abolutely free
Teardown,Overwhelmingly positive,Strategy,E,Destruction,Physics,Voxel,Sandbox,Heist,Tuxedo Labs,19.99,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of
Phasmophobia,Overwhelmingly positive,Strategy,T,Horror,Online Co-Op,Multiplayer,Online Co-Op,VR,Kinetic Games,13.99,Phasmophobia is a 4 player online co-op psychological horro. Paranormal activity is on the rise and it's up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can
Among Us,Overwhelmingly positive,Casual,E10,Multiplayer,Online Co-Op,Space,Survival,2D,Innersloth,4.99,An online and local party game of teamwork and betrayal for 4-10 players....in space
Hades,Overwhelmingly positive,RPG,T,Action,Indie,RPG,Rogue,Singleplayer,Supergiant Games,21.99,Defy the god of the dead as you hack and slash out of Underworld in this rogue-like dungeon crawler from the creators of Bastion Transistor and Pyre
Crusader Kings III,Very positive,Simulation,M,Strategy,RPG,Grand Stragety,War,Multiplayer,Paradox Interactive,49.99,Paradox Development Studio brings you the sequel to one of the most popular stragety games ever made. Crusader Kings III is the heir to a long legacy of historical grand stragety experiences and arrives with a host of new ways to ensure the success of your royal house
Football Manager 2021,Very postive,Sports,E,Simulation,Management,Singleplayer,Soccer,Multiplayer,SEGA,49.99,New additions and game upgrades deliver added levels of depth drama and football authenticity. FM21 empowers you like never before to develop your skills and command success at your club
Tabletop Simulator,Overwhelmingly positive,Strategy,E,Board Game,Tabletop,Multiplayer,Simluation,VR,Berserk Games,19.99,Tabletop simulator is the only simulator where you can let your aggression out by flipping the table! There are no rules to follow: just you a physics sandbox and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming posibilities!
Grand Theft Auto V,Very positive,Racing,M,Open World,Action,Multiplayer,Shooter,Adventure,Rockstar Games,29.99,Grand Theft Auto V for PC offers players the option to explore the awrd-winning world Los Santos and Blaine County in resolutions of up to 4K and beyond. As well as the chance to experience the game running at 60 frames per second
Doom Eternal,Very positive,RPG,M,Action,Multiplayer,Online Co-Op,Simulation,Strategy,Bethesda Softworks,19.99,Doom Eternal is a first-person shooter video game developed by id Software and published by Bethesda Softworks.
Cyberpunk 2077,Very Positive,RPG,M,Action,Strategy,Open World,Online Co-Op,3D,CD Projekt Red,49.99,"a storydriven, open world RPG of the dark future from CD PROJEKT RED, creators of The Witcher series of game"
GreedFall,Mostly Positive,RPG,M,Action,Open World,Strategy,Magic,Gore,Focus Home Interactive,49.99,"Engage in a core roleplaying experience, and forge the destiny of a new world seeping with magic, and filled with riches, lost secrets, and fantastic creatures. With diplomacy, deception and force, become part of a living, evolving world - influence its course and shape your story."
Tom Clancy's Rainbow Six® Siege,Very Positive,Action,M,Online Coop,Shooter,3D,Action,VR,Ubisoft,29.99,Tom Clancy's Rainbow Six Siege is the latest installment of the acclaimed first-person shooter franchise developed by the renowned Ubisoft Montreal studio.
Legion TD 2 - Multiplayer Tower Defense,Mostly Positive,Action,M,Online PvP,Strategy,Competitive,Multiplayer,Tower Defense,AutoAttack Games,19.99,Competitive 2v2 and 4v4 tower defense. From the team that brought you Legion TD. Made by an indie team of 4 friends. Monthly updates and absolutely no pay-to-win mechanics
Deep Despair,Mostly Positive,Action,M,Adventure,RPG,2D,Survival,Crafting,BekkerDev Studio,4.99,"Deep Despair is a Minecraft-style survival sandbox. Travel, collect resources, craft items, dig, build, grow crops and survive. Freedom of action is limited only by your imagination!"
Crumble,Positive,Strategy,E,Action,Adventure,Co-op,Indie,Platformer,BRUTE FORCE,14.99,"Crumble is a dynamic physics platformer. Move like a Slime, jump like a ball, swing like Spiderman!"
Tanuki Sunset,Positive,Action,E,Indie,Racing,Sports,Adventure,Casual,Rewind Games,14.99,"Tanuki Sunset is a third-person longboarding game where players follow Tanuki. They must master longboard drifting and make their way from mountains ranges, cities and beaches in Sunset Island to have a chance at fulfilling Tanuki's life dream to be featured in FISH Sports Magazine!"
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,Positive,RPG,T,3D,Adventure,Action,Single Player,Fantasy,Square Enix,39.99,"The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience."
Phoenix Point: Year One Edition,Mostly Positive,Strategy,RP,3D,Horror,PvE,First-Person,RPG,Snapshot Games Inc.,59.99,"The highly anticipated new strategy game from the creator of X-COM. Fight tactical battles on procedural maps against a foe that adapts to your tactics. Manage diplomacy and economy on a global scale. Research, explore, overcome. Includes all previously released DLC."
Creeper World 4,Very positive,Strategy,T,Indie,Casual,Action,Tactical,Tower Defense,Knuckle Cracker,24.99,"The unstoppable fluid enemy has returned and destroyed every world in its path! Defend against Creeper as it floods across the 3D terrain in this real time strategy game where the enemy is a fluid."
Per Aspera,Mixed,Strategy,E10,Indie,Science,Artificial,Intelligense,Sandbox,Raw Fury,29.99,"Experience city-building as never before — Overcome near-impossible odds to terraform Mars, cultivate the red-planet’s hidden resources, and unravel the past mysteries of those who’ve attempted the unbelievable feat. Humanity's future rests on your shoulders."
Shadow Empire,Positive,Strategy,T,Simulation,RG,Multiplayer,Tactical,Wargame,Slitherine Ltd.,39.99,"Shadow Empire is a deep turn-based 4X wargame with a unique blend of military focus, procedurally generated content and role-playing features."
Morbid: The Seven Acolytes,Mostly Positive,Action,M,Adventure,RPG,Indie,Fantasy,Gore,Merge Games,24.99,"Morbid: The Seven Acolytes is a Horrorpunk Action RPG filled with Lovecraftian horrors and Cronenbergian gore, making it the most gruesome take on the isometric Souls-like genre yet!"
Haven,Very Positive,Adventure,T,RPG,Action,Indie,Science,Local Coop,The Game Bakers,24.99,"Two lovers gave up everything and escaped to a lost planet to be together. Glide through a mysterious landscape, explore a fragmented world and fight against what’s trying to tear them apart in this RPG adventure about love, rebellion, and freedom."
Deep Space,Mostly Positive,RPG,M,Action,Exploration,Adventure,3D,Shooter,Enoops,1.99,"You are entrusted with the role of one of the elite captains, put on a high-tech mech suit suitable for travel into space and go on an exciting journey"
PHOGS!,Positive,Adventure,E,Co-op,Indie,Online Co-Op,Science,Local Coop,Coatsink,24.99,"In PHOGS! you play as a duo of dogs on a captivating, puzzle-filled adventure. Linked by a stretchy belly, you’ll need to bark, bite and bounce your way through obstacles set across the themed worlds of Food, Sleep and Play, in co-op or single-player."
